2427,2426,1096,2579,56.0
1942,4848,1759,2422,32.0
2392,2295,2050,1418,29.0
1108,4775,1122,650,28.0
2427,2426,1096,1290,25.0
4212,5709,170,1290,25.0
2778,2439,1057,2579,23.0
2447,2437,1276,1092,22.0
1599,5709,1438,1290,21.0
1885,4468,1759,1667,21.0
1942,4399,1759,987,20.0
4135,4135,815,170,19.0
4925,4925,667,2073,18.0
1599,5709,1438,2579,18.0
4843,4930,1122,1347,18.0
4135,4135,1117,170,18.0
4925,4930,1580,1347,17.0
4212,5709,2411,1290,16.0
1941,4399,1259,987,16.0
4212,5709,170,2579,16.0
1293,4586,170,218,16.0
1108,4775,1580,650,16.0
1635,1566,1303,168,15.0
4815,4815,1337,647,15.0
2392,2295,2050,540,14.0
2427,2447,1096,1303,14.0
4815,4815,1749,647,14.0
4815,4815,667,647,14.0
4925,4930,1580,675,14.0
1071,1071,1337,1761,13.0
3824,3824,3370,1122,13.0
4135,4135,2069,170,13.0
1163,1192,3369,3370,13.0
1858,1858,969,1758,13.0
4843,4930,1122,1760,12.0
4815,4815,815,647,12.0
1293,4586,819,218,12.0
4925,4925,667,1579,12.0
5693,5693,3032,3033,12.0
4843,4930,650,1347,12.0
4925,4930,2074,819,12.0
1605,1615,3364,2579,12.0
4212,5709,2411,2579,12.0
4925,4930,1580,1743,12.0
4925,4925,1749,2073,12.0
2445,2717,1276,1054,11.0
1059,1059,819,650,11.0
1942,1858,2388,1758,11.0
1942,1942,1759,1623,11.0
4925,4930,1580,819,11.0
1293,4586,2411,218,11.0
1472,1472,3364,1290,11.0
4925,4930,2074,675,11.0
4775,4775,819,650,11.0
4843,4930,1122,819,10.0
3718,3718,1096,888,10.0
4925,4930,2074,1743,10.0
4843,4930,650,1743,10.0
2421,2421,20,1057,10.0
568,568,647,685,10.0
3707,3703,3369,3370,10.0
4843,4930,650,819,10.0
4925,4843,1580,2256,10.0
2778,2439,1057,1290,10.0
4212,5709,2902,1290,10.0
4815,4815,647,1337,10.0
2782,2340,1276,1448,10.0
2438,2437,1290,1092,10.0
2293,2293,1667,1418,10.0
3735,3735,650,220,10.0
2392,2295,2050,1667,10.0
4815,4815,1761,647,9.0
4925,4925,1749,1579,9.0
4925,4925,1580,1579,9.0
4135,4135,2069,720,9.0
1474,3602,987,969,9.0
1605,1624,987,969,9.0
4843,4930,1122,1743,9.0
4815,4815,647,1117,9.0
4925,4930,1580,1760,9.0
1941,1942,1259,1623,9.0
2427,2447,1096,1276,9.0
4912,5709,819,1290,9.0
1472,1472,3370,1290,9.0
3703,3707,3370,3369,9.0
4212,5709,186,2579,9.0
4930,4930,819,1347,9.0
1472,1472,220,1290,9.0
4843,4816,650,647,9.0
1605,1615,220,2579,9.0
2521,2521,343,1763,9.0
1757,1765,3366,969,9.0
1293,4586,86,218,9.0
1898,1936,1248,1259,9.0
2782,2340,1276,1248,9.0
4816,4925,1337,2073,8.0
4843,4930,1122,675,8.0
4843,4930,650,1760,8.0
5388,4595,1448,1092,8.0
4912,5709,720,1290,8.0
5283,2510,2408,2409,8.0
2782,2340,1276,2048,8.0
2447,2437,1303,1092,8.0
1635,1566,1303,3187,8.0
1065,1068,650,1743,8.0
4212,5709,186,1290,8.0
3217,3217,2765,2563,8.0
2450,3602,1276,219,8.0
3202,3204,2561,1768,8.0
4925,4930,2074,1347,8.0
4816,4925,1337,1579,8.0
4843,4930,650,675,8.0
2328,2227,1453,1448,8.0
4212,5709,2902,2579,8.0
1293,4586,186,218,8.0
2778,2439,2026,2579,8.0
4135,4135,815,1069,8.0
4775,4775,1347,650,8.0
1163,1192,3357,3358,8.0
2427,2426,1101,2579,8.0
